#WindowWidth (s)	Efficiency
0.4	0.1
0.8	0.129167
1.2	0.125
1.6	0.120833
2	0.141667
2.4	0.141667
2.8	0.145833
3.2	0.158333
3.6	0.183333
4	0.195833
4.4	0.204167
4.8	0.204167
5.2	0.225
5.6	0.229167
6	0.229167
6.4	0.233333
6.8	0.2375
7.2	0.2375
7.6	0.258333
8	0.258333
8.4	0.279167
8.8	0.279167
9.2	0.291667
9.6	0.291667
10	0.3
10.4	0.304167
10.8	0.295833
11.2	0.3
11.6	0.3125
12	0.3375
12.4	0.329167
12.8	0.35
13.2	0.3625
13.6	0.370833
14	0.370833
14.4	0.370833
14.8	0.379167
15.2	0.3875
15.6	0.4
16	0.4125
16.4	0.433333
16.8	0.454167
17.2	0.454167
17.6	0.4625
18	0.4625
18.4	0.466667
18.8	0.475
19.2	0.495833
19.6	0.479167
20	0.495833
20.4	0.4875
20.8	0.5
21.2	0.508333
21.6	0.520833
22	0.525
22.4	0.5375
22.8	0.55
23.2	0.558333
23.6	0.575
24	0.5875
24.4	0.604167
24.8	0.6125
25.2	0.6125
25.6	0.620833
26	0.633333
26.4	0.633333
26.8	0.645833
27.2	0.641667
27.6	0.6375
28	0.641667
28.4	0.645833
28.8	0.654167
29.2	0.6625
29.6	0.666667
30	0.666667
30.4	0.679167
30.8	0.675
31.2	0.683333
31.6	0.7
32	0.704167
32.4	0.716667
32.8	0.725
33.2	0.745833
33.6	0.741667
34	0.745833
34.4	0.745833
34.8	0.7625
35.2	0.7875
35.6	0.783333
36	0.779167
36.4	0.7875
36.8	0.791667
37.2	0.804167
37.6	0.820833
38	0.85
38.4	0.845833
38.8	0.866667
39.2	0.866667
39.6	0.8625
40	0.866667
40.4	0.870833
40.8	0.8625
41.2	0.8625
41.6	0.8625
42	0.858333
42.4	0.841667
42.8	0.870833
43.2	0.879167
43.6	0.870833
44	0.8625
44.4	0.858333
44.8	0.8625
45.2	0.854167
45.6	0.854167
46	0.854167
46.4	0.854167
46.8	0.858333
47.2	0.858333
47.6	0.8625
48	0.8625
